city,avg_temperature,avg_daily_rainfall,total_recorded_rainfall,avg_wind_speed,rainy_days
Ahmedabad,27.475405168637757,2.4492553657468243,22366.6,14.194601401664476,2542
Bangalore,23.464241130091985,2.6204555409548838,23930.0,16.552091546211127,4895
Chennai,28.410112790188347,3.0076434515987733,27465.8,18.3594502847131,4843
Delhi,24.94783180026281,1.851773981603154,16910.4,14.661585632939115,3144
Hyderabad,26.31067126587823,2.2298948751642578,20363.4,15.993440648269821,3889
Jaipur,25.25535479632063,1.4730946123521682,13452.3,14.655792816469559,2705
Kolkata,26.437719010074463,4.551456416995182,41563.9,13.516108190976786,4837
Lucknow,25.362899693385895,2.774693385895751,25338.5,14.589246605343845,3381
Mumbai,27.05183420937363,5.6942838370565045,52000.2,18.02313841436706,3664
Pune,25.435698642137538,4.274956197985108,39038.9,14.692498904949627,4103
