city,month,month_name,avg_temperature,avg_daily_rainfall
Ahmedabad,1,January,20.647612903225806,0.025419354838709676
Ahmedabad,2,February,23.165417256011317,0.030551626591230552
Ahmedabad,3,March,27.52477419354839,0.09729032258064517
Ahmedabad,4,April,31.537533333333336,0.042800000000000005
Ahmedabad,5,May,33.588580645161294,0.1616774193548387
Ahmedabad,6,June,32.507666666666665,2.4052000000000002
Ahmedabad,7,July,28.94290322580645,12.004516129032258
Ahmedabad,8,August,27.804258064516127,8.875225806451613
Ahmedabad,9,September,28.138933333333334,4.625866666666667
Ahmedabad,10,October,28.214129032258064,0.6024516129032258
Ahmedabad,11,November,25.457066666666666,0.17306666666666665
Ahmedabad,12,December,22.047483870967742,0.052516129032258066
Bangalore,1,January,21.35767741935484,0.20025806451612901
Bangalore,2,February,23.052263083451205,0.21343705799151344
Bangalore,3,March,25.536516129032258,0.5867096774193549
Bangalore,4,April,26.998533333333334,1.3452
Bangalore,5,May,26.27464516129032,3.7753548387096774
Bangalore,6,June,24.0466,3.8946666666666667
Bangalore,7,July,23.202709677419353,4.535096774193548
Bangalore,8,August,22.958193548387094,4.4390967741935485
Bangalore,9,September,23.003,4.1676
Bangalore,10,October,22.660645161290322,4.693548387096774
Bangalore,11,November,21.6342,2.6348
Bangalore,12,December,20.868645161290324,0.7988387096774194
Chennai,1,January,24.71058064516129,0.5686451612903226
Chennai,2,February,25.695403111739747,0.2596888260254597
Chennai,3,March,27.876709677419356,0.39070967741935486
Chennai,4,April,30.2954,0.5521333333333334
Chennai,5,May,32.101677419354836,1.7243870967741937
Chennai,6,June,31.628666666666668,1.9376
Chennai,7,July,30.510129032258064,2.7397419354838712
Chennai,8,August,29.819290322580645,3.5998709677419356
Chennai,9,September,29.258733333333332,4.005866666666667
Chennai,10,October,27.788903225806454,7.078193548387097
Chennai,11,November,26.045666666666666,8.853466666666668
Chennai,12,December,25.06774193548387,4.247354838709677
Delhi,1,January,13.795548387096773,0.8304516129032259
Delhi,2,February,17.250777934936348,1.0036775106082036
Delhi,3,March,22.738451612903226,0.7473548387096774
Delhi,4,April,28.997066666666665,0.43306666666666666
Delhi,5,May,32.49774193548387,0.8450322580645161
Delhi,6,June,33.14266666666666,2.1621333333333332
Delhi,7,July,30.348387096774193,6.400516129032257
Delhi,8,August,29.308387096774194,5.388903225806451
Delhi,9,September,28.493799999999997,3.5675999999999997
Delhi,10,October,25.85238709677419,0.37406451612903224
Delhi,11,November,20.869,0.15839999999999999
Delhi,12,December,15.782193548387097,0.2006451612903226
Hyderabad,1,January,22.59948387096774,0.19096774193548388
Hyderabad,2,February,24.960961810466763,0.1272984441301273
Hyderabad,3,March,28.03941935483871,0.4059354838709678
Hyderabad,4,April,30.60186666666667,0.5457333333333334
Hyderabad,5,May,32.05870967741936,0.7983225806451614
Hyderabad,6,June,28.624266666666667,3.844133333333333
Hyderabad,7,July,26.15948387096774,6.332387096774194
Hyderabad,8,August,25.627225806451612,5.7463225806451605
Hyderabad,9,September,25.6994,5.0098666666666665
Hyderabad,10,October,25.267806451612902,2.8630967741935485
Hyderabad,11,November,23.698066666666666,0.5972
Hyderabad,12,December,22.381999999999998,0.14774193548387096
Jaipur,1,January,14.740064516129031,0.30451612903225805
Jaipur,2,February,18.505940594059407,0.2746817538896747
Jaipur,3,March,24.06574193548387,0.3065806451612903
Jaipur,4,April,29.711799999999997,0.18546666666666667
Jaipur,5,May,33.27161290322581,0.4463225806451613
Jaipur,6,June,33.0424,1.9754666666666665
Jaipur,7,July,29.485612903225803,5.558064516129032
Jaipur,8,August,27.778774193548387,5.411612903225806
Jaipur,9,September,27.94826666666667,2.3830666666666667
Jaipur,10,October,26.318774193548386,0.3169032258064516
Jaipur,11,November,21.383933333333335,0.24013333333333334
Jaipur,12,December,16.576064516129033,0.13341935483870968
Kolkata,1,January,19.20716129032258,0.44387096774193546
Kolkata,2,February,22.71838755304102,0.7717114568599718
Kolkata,3,March,27.34296774193548,0.8998709677419354
Kolkata,4,April,30.51213333333333,1.9809333333333334
