city,avg_daily_rainfall,median_daily_rainfall,rainy_days,maximum_daily_rainfall,rainy_day_percentage
Mumbai,5.6942838370565045,0.0,3664,251.1,40.12264564169952
Kolkata,4.551456416995182,0.2,4837,155.4,52.967586508979416
Pune,4.274956197985108,0.0,4103,156.5,44.9299167761717
Chennai,3.0076434515987733,0.1,4843,255.8,53.03328953131844
Lucknow,2.774693385895751,0.0,3381,158.4,37.02365308804205
Bangalore,2.6204555409548838,0.2,4895,126.6,53.60271572492334
Ahmedabad,2.4492553657468243,0.0,2542,339.9,27.836180464301357
Hyderabad,2.2298948751642578,0.0,3889,128.0,42.586508979413054
Delhi,1.851773981603154,0.0,3144,120.6,34.42838370565046
Jaipur,1.4730946123521682,0.0,2705,116.4,29.621112571178276
