city,year,avg_temperature,avg_daily_rainfall,maximum_temperature,minimum_temperature
Ahmedabad,2000,27.61311475409836,1.021584699453552,42.4,10.8
Ahmedabad,2001,27.432191780821917,1.2438356164383562,43.2,10.3
Ahmedabad,2002,27.900821917808216,0.821917808219178,44.9,10.3
Ahmedabad,2003,27.43315068493151,2.1654794520547944,43.8,11.1
Ahmedabad,2004,27.37363387978142,2.359562841530055,43.6,10.7
Ahmedabad,2005,26.535205479452056,2.9515068493150682,42.4,8.5
Ahmedabad,2006,27.104520547945203,4.4301369863013695,42.6,10.1
Ahmedabad,2007,27.17821917808219,2.9904109589041097,41.9,11.2
Ahmedabad,2008,26.767486338797813,2.1418032786885246,41.2,7.0
Ahmedabad,2009,27.9686301369863,1.6238356164383563,42.5,12.1
Ahmedabad,2010,28.014109589041094,2.984931506849315,45.4,10.5
Ahmedabad,2011,27.174520547945207,2.2457534246575346,41.5,10.0
Ahmedabad,2012,26.741256830601092,1.5385245901639344,41.3,8.6
Ahmedabad,2013,26.591506849315067,2.512054794520548,42.9,10.0
Ahmedabad,2014,27.177945205479453,1.899178082191781,42.3,9.2
Ahmedabad,2015,27.622739726027394,1.6728767123287671,42.2,10.5
Ahmedabad,2016,27.426092896174865,1.9459016393442625,45.4,10.8
Ahmedabad,2017,27.63931506849315,4.323287671232877,42.6,10.8
Ahmedabad,2018,27.877260273972606,2.0578082191780824,43.9,10.3
Ahmedabad,2019,27.51164383561644,3.3893150684931506,43.7,9.6
Ahmedabad,2020,27.72486338797814,2.773497267759563,43.5,10.3
Ahmedabad,2021,27.890958904109592,2.876986301369863,42.7,11.1
Ahmedabad,2022,28.015616438356165,2.7800000000000002,45.3,7.9
Ahmedabad,2023,27.975616438356166,2.8380821917808223,43.7,9.5
Ahmedabad,2024,28.19603825136612,3.647814207650273,46.4,11.7
Bangalore,2000,22.732513661202187,2.6311475409836067,34.9,9.8
Bangalore,2001,23.140547945205476,2.0717808219178084,34.1,10.0
Bangalore,2002,23.34315068493151,1.7224657534246577,35.6,10.3
Bangalore,2003,23.819589041095888,1.6153424657534248,35.6,11.6
